id,file,date,algorithm,initialization,centroids (k),fuzzy weight (m),stopping_criterion,init_time,algorithm_time,iteration
TEST01,data/affitti70.csv,2020/06/10 22:01:50,kmeans,random,3,-,biggest-diff,0.00018286705017089844,170.72168159484863,43
TEST01,data/affitti70.csv,2020/06/10 22:04:50,fuzzy-cmeans,random,3,1.5,biggest-diff,0.00018286705017089844,180.5463342666626,30
TEST01,data/affitti70.csv,2020/06/10 22:06:15,fuzzy-cmeans,random,3,3,biggest-diff,0.00018286705017089844,84.4458556175232,14
TEST01,data/affitti70.csv,2020/06/10 22:08:44,fuzzy-cmeans,random,3,2,biggest-diff,0.00018286705017089844,149.28465723991394,25
TEST01,data/affitti70.csv,2020/06/10 22:13:43,fuzzy-cmeans,step,3,1.5,biggest-diff,3.4271938800811768,212.4026689529419,35
TEST01,data/affitti70.csv,2020/06/10 22:14:56,fuzzy-cmeans,step,3,3,biggest-diff,3.4271938800811768,72.95683979988098,12
TEST01,data/affitti70.csv,2020/06/10 22:17:08,fuzzy-cmeans,step,3,2,biggest-diff,3.4271938800811768,131.87892246246338,22
TEST01,data/affitti70.csv,2020/06/10 22:28:41,kmeans,random,4,-,biggest-diff,0.0001583099365234375,105.26564574241638,26
TEST01,data/affitti70.csv,2020/06/10 22:33:53,fuzzy-cmeans,random,4,1.5,biggest-diff,0.0001583099365234375,312.84914469718933,45
TEST01,data/affitti70.csv,2020/06/10 22:35:39,fuzzy-cmeans,random,4,3,biggest-diff,0.0001583099365234375,105.31618094444275,15
TEST01,data/affitti70.csv,2020/06/10 22:38:54,fuzzy-cmeans,random,4,2,biggest-diff,0.0001583099365234375,194.8681037425995,28
TEST01,data/affitti70.csv,2020/06/10 22:45:40,fuzzy-cmeans,step,4,1.5,biggest-diff,3.421751022338867,347.634473323822,50*
TEST01,data/affitti70.csv,2020/06/10 22:47:04,fuzzy-cmeans,step,4,3,biggest-diff,3.421751022338867,83.71535563468933,12
TEST01,data/affitti70.csv,2020/06/10 22:49:37,fuzzy-cmeans,step,4,2,biggest-diff,3.421751022338867,153.23777222633362,22
TEST01,data/affitti70.csv,2020/06/10 23:05:05,kmeans,random,5,-,biggest-diff,0.00018143653869628906,208.80024766921997,50*
TEST01,data/affitti70.csv,2020/06/10 23:11:44,fuzzy-cmeans,random,5,1.5,biggest-diff,0.00018143653869628906,399.21651005744934,50*
TEST01,data/affitti70.csv,2020/06/10 23:13:54,fuzzy-cmeans,random,5,3,biggest-diff,0.00018143653869628906,129.85443902015686,16
TEST01,data/affitti70.csv,2020/06/10 23:17:45,fuzzy-cmeans,random,5,2,biggest-diff,0.00018143653869628906,231.68277978897095,29
TEST01,data/affitti70.csv,2020/06/10 23:27:46,fuzzy-cmeans,step,5,1.5,biggest-diff,3.4155163764953613,402.42376685142517,50*
TEST01,data/affitti70.csv,2020/06/10 23:29:23,fuzzy-cmeans,step,5,3,biggest-diff,3.4155163764953613,96.4780342578888,12
TEST01,data/affitti70.csv,2020/06/10 23:32:34,fuzzy-cmeans,step,5,2,biggest-diff,3.4155163764953613,191.4185471534729,24
TEST01,data/affitti15.csv,2020/06/11 01:26:29,kmeans,random,3,-,biggest-diff,0.0001862049102783203,87.19878792762756,29
TEST01,data/affitti15.csv,2020/06/11 01:27:47,fuzzy-cmeans,random,3,1.5,biggest-diff,0.0001862049102783203,78.48604559898376,31
TEST01,data/affitti15.csv,2020/06/11 01:28:23,fuzzy-cmeans,random,3,3,biggest-diff,0.0001862049102783203,35.572211503982544,14
TEST01,data/affitti15.csv,2020/06/11 01:29:26,fuzzy-cmeans,random,3,2,biggest-diff,0.0001862049102783203,63.59355592727661,25
TEST01,data/affitti15.csv,2020/06/11 01:32:11,fuzzy-cmeans,step,3,1.5,biggest-diff,2.814087152481079,98.32635164260864,39
TEST01,data/affitti15.csv,2020/06/11 01:32:45,fuzzy-cmeans,step,3,3,biggest-diff,2.814087152481079,33.46122598648071,13
